id,created_at,text,user,screen_name,friends_count,followers_count,retweet_count,favorite_count
1115340647232409605,2019-04-08 19:48:26,RT @cantab_Matt: Interested in applying #ML techniques to actual clinical dementia data to help determine if risk and MCI-AD conversion can…,Prof David Llewellyn,DrDJLlewellyn,1915,1376,1,0
1115340534782910464,2019-04-08 19:48:00,RT @CodeIsGo_com: RT @juantomas Reinforcement Learning for Combinatorial Optimization https://t.co/RRx1KYBKeL https://t.co/prkTePIuQs #ML #…,juantomas,juantomas,708,2732,1,0
1115340237960556545,2019-04-08 19:46:49,New Technique Cuts AI Training Time By More Than 60 Percent | News | NC State University https://t.co/f9Gr1pTmOW #ai #ml #dl,AI News Feed,AINewsFeed,4171,5687,0,0
1115340044649345024,2019-04-08 19:46:03,"Companies working with both humans and #AI such as @mighty_ai, a Training Data as a Service company, have honed in… https://t.co/6l8cV6JHZ5",Arnaud Vanderroost,avdrst,1410,774,0,0
1115340010780336128,2019-04-08 19:45:55,"RT @AudreyDesisto: Robot bees to help astronauts on space station 
https://t.co/IjPcewIcal via @ZDNet &amp; @gcnichs
#robots #ML #tech #TechNew…",Rob May,robmay70,11547,13364,4,0
1115339972511457281,2019-04-08 19:45:46,@elonmusk @elonmusk @yandex please think of an #ml protocol with clear borders inside/outside the car &amp; all #ai dec… https://t.co/WDgB0cKqD6,Antonie,Antonie19031966,6362,5838,0,0
1115339905478025217,2019-04-08 19:45:30,"RT @coderinheels: Listening to a really interesting talk about #MachineLearning at Scale at @Waymo 

#GoogleNext19 
#ML
#SelfDrivingCars ht…",TECH(K)NOW,TECHKNOWDay,2324,2225,1,0
1115339476430143488,2019-04-08 19:43:47,"RT @StephaneNappo: #MegaTrends #Hyperconvergence

World's fastest supercomputer.

📌by @nowthisnews |

#MachineLearning #ML #NeuralNetworks…",Ludmila Morozova-Buss,TopCyberNews,6678,24678,12,0
1115339279293714432,2019-04-08 19:43:00,"@AndrewJHolcomb Read about their research:

Machine learning to predict occult nodal metastasis in early oral squam… https://t.co/dEQQrSVb6j",KU ENT,KU_ENT,712,954,0,1
1115339043389177856,2019-04-08 19:42:04,"RT @JimMarous: 10 Technologies That Will Disrupt Financial Services In The Next 5 Years

https://t.co/wia2VfqjX6

#banking #fintech #finser…",Peter Schmid,i_am_dix,226,87,7,0
1115338978851524610,2019-04-08 19:41:49,"Geminare Announces the Launch of https://t.co/sFa1dd7Pjm, Connecting Enterprise Data to Industry Leading Pre-...… https://t.co/nplGvcX891",AI News Feed,AINewsFeed,4171,5687,0,0
1115338938493874176,2019-04-08 19:41:39,RT @ConcertioInc: “The world is entering an era where systems will self-adapt in real time according to the workload behavior. Using #machi…,Tomer Morad,TYMorad,273,49,2,0
1115338780976779266,2019-04-08 19:41:02,"“By 2022, 65% of CIOs will be tasked with modernizing governance policies to reflect the risks and opportunities po… https://t.co/2GaKS3wos9",Enterprise AI Tech,EntAITechnology,1178,406,0,0
1115338688693563392,2019-04-08 19:40:40,#ML #dataanalytics https://t.co/8waHUYZJzf https://t.co/0V53n09pu1,stanislav ilev,stnle,5001,717,0,0
1115338612801921024,2019-04-08 19:40:21,"Listening to a really interesting talk about #MachineLearning at Scale at @Waymo 

#GoogleNext19 
#ML… https://t.co/nMfj4NhgRx",Gen Ashley,coderinheels,7680,10819,1,3
1115338521198432256,2019-04-08 19:40:00,RT @MedAppsAB: #FDA Outlines Plans for #Medical Devices with #ArtificialIntelligence | #HealthTech #EHR #HealthData #DigitalHealth #AI #ML…,DME Intelligence,DME_Jun,7,968,3,0
1115338479813185537,2019-04-08 19:39:50,"RT @mojorankcorp: 13 Industries that will soon be revolutionised by Artificial Intelligence: https://t.co/qy1elIKlSl By @Forbes 

#AI #ML #…",John Pearce,techpearce2,24056,23669,1,0
1115337884565954565,2019-04-08 19:37:28,RT @MedAppsAB: #FDA Outlines Plans for #Medical Devices with #ArtificialIntelligence | #HealthTech #EHR #HealthData #DigitalHealth #AI #ML…,CareMo,caring_mobile,123,4602,3,0
1115337718337277957,2019-04-08 19:36:48,AI is not magic': shifting perceptions of artificial intelligence at Evoke 2019 | BetaKit https://t.co/WeHs1tW0Di #ai #ml #dl,AI News Feed,AINewsFeed,4171,5687,0,0
