id,created_at,text,user,screen_name,friends_count,followers_count,retweet_count,favorite_count,Hashtags
1118667675427717120,2019-04-18 00:08:52,"Our own Mangirdas Adomaitis is sharing the pros and cons of using off-the-shelf solutions for building chatbots vs open source! 

Follow our journey LIVE: https://t.co/LoGTet4u6t

#AI #ML #NLU #NLP #chatbot #BotTO https://t.co/Wg8u8Dm91v",Eddy Travels,eddytravels,130,51,2,2,"[{'text': 'AI', 'indices': [180, 183]}, {'text': 'ML', 'indices': [184, 187]}, {'text': 'NLU', 'indices': [188, 192]}, {'text': 'NLP', 'indices': [193, 197]}, {'text': 'chatbot', 'indices': [198, 206]}, {'text': 'BotTO', 'indices': [207, 213]}]"
1118667352097292288,2019-04-18 00:07:35,"This mind-reading #AI can see what you're thinking - and draw a picture of it
by @jezardscribe1 @wef |

 #Artificialintelligence #ML #MachineLearning #Robotics #Automation #SmartTech #Algorithm #DeepLearning  #DL #RT https://t.co/St3wP0IBBn https://t.co/WQ5NFcSYXv https://t.co/ervqwfZdbE",Ronald van Loon,Ronald_vanLoon,181870,180999,8,3,"[{'text': 'AI', 'indices': [18, 21]}, {'text': 'Artificialintelligence', 'indices': [105, 128]}, {'text': 'ML', 'indices': [129, 132]}, {'text': 'MachineLearning', 'indices': [133, 149]}, {'text': 'Robotics', 'indices': [150, 159]}, {'text': 'Automation', 'indices': [160, 171]}, {'text': 'SmartTech', 'indices': [172, 182]}, {'text': 'Algorithm', 'indices': [183, 193]}, {'text': 'DeepLearning', 'indices': [194, 207]}, {'text': 'DL', 'indices': [209, 212]}, {'text': 'RT', 'indices': [213, 216]}]"
1118665902231359490,2019-04-18 00:01:49,Deep learning for cancer type classification | bioRxiv https://t.co/UpA1hjmbUG #ai #ml #dl,AI News Feed,AINewsFeed,4163,5689,0,1,"[{'text': 'ai', 'indices': [79, 82]}, {'text': 'ml', 'indices': [83, 86]}, {'text': 'dl', 'indices': [87, 90]}]"
1118665753169776640,2019-04-18 00:01:14,"Bay Area friends, if you're looking for something thoughtful (and thought-provoking) tonight, check out our Chief Scientist @rajhans_samdani and other leading #ML minds on this panel! https://t.co/MG21exfgaT",Spoke,askspoke,367,724,2,5,"[{'text': 'ML', 'indices': [159, 162]}]"
1118665562039758848,2019-04-18 00:00:28,Better monitoring intelligence and proactive efforts to assist technology teams.  https://t.co/ITjALDJVAi #it #data #ml #learn #alert #sre,benmorris,benmorris,3606,1190,0,0,"[{'text': 'it', 'indices': [106, 109]}, {'text': 'data', 'indices': [110, 115]}, {'text': 'ml', 'indices': [116, 119]}, {'text': 'learn', 'indices': [120, 126]}, {'text': 'alert', 'indices': [127, 133]}, {'text': 'sre', 'indices': [134, 138]}]"
1118664642757365762,2019-04-17 23:56:49,The Coming Regulation of Artificial Intelligence?  EU Publishes AI Guidelines | News &amp; Insights | ... https://t.co/giUjCKaZQl #ai #ml #dl,AI News Feed,AINewsFeed,4163,5689,0,0,"[{'text': 'ai', 'indices': [130, 133]}, {'text': 'ml', 'indices': [134, 137]}, {'text': 'dl', 'indices': [138, 141]}]"
1118661935942123520,2019-04-17 23:46:03,"Next on the stage - @juste_petr from @Rasa_HQ! 

Justina is sharing how to successfully build conversational AI with open source tools✨

Join our live broadcast: https://t.co/LoGTet4u6t

#AI #ML #NLU #NLP #chatbots #BotTO #Toronto #Rasa https://t.co/fj86EJGORY",Eddy Travels,eddytravels,130,51,3,1,"[{'text': 'AI', 'indices': [187, 190]}, {'text': 'ML', 'indices': [191, 194]}, {'text': 'NLU', 'indices': [195, 199]}, {'text': 'NLP', 'indices': [200, 204]}, {'text': 'chatbots', 'indices': [205, 214]}, {'text': 'BotTO', 'indices': [215, 221]}, {'text': 'Toronto', 'indices': [222, 230]}, {'text': 'Rasa', 'indices': [231, 236]}]"
1118661778131562499,2019-04-17 23:45:26,"#Excel to #MySQL Analytic Techniques for #Business Specialization

https://t.co/LB0adW1T5M

#SAP #SQLServer #SQL #AI #DataScience #BI #BigData #Analytics #DataAnalytics #dataviz #ML #DL #DevOps #Coding #Code #100DaysofCode #tech #tableau #Algorithms #BusinessIntelligence",Jamil Ahmed,ahmedjr_16,27347,25630,2,2,"[{'text': 'Excel', 'indices': [0, 6]}, {'text': 'MySQL', 'indices': [10, 16]}, {'text': 'Business', 'indices': [41, 50]}, {'text': 'SAP', 'indices': [92, 96]}, {'text': 'SQLServer', 'indices': [97, 107]}, {'text': 'SQL', 'indices': [108, 112]}, {'text': 'AI', 'indices': [113, 116]}, {'text': 'DataScience', 'indices': [117, 129]}, {'text': 'BI', 'indices': [130, 133]}, {'text': 'BigData', 'indices': [134, 142]}, {'text': 'Analytics', 'indices': [143, 153]}, {'text': 'DataAnalytics', 'indices': [154, 168]}, {'text': 'dataviz', 'indices': [169, 177]}, {'text': 'ML', 'indices': [178, 181]}, {'text': 'DL', 'indices': [182, 185]}, {'text': 'DevOps', 'indices': [186, 193]}, {'text': 'Coding', 'indices': [194, 201]}, {'text': 'Code', 'indices': [202, 207]}, {'text': '100DaysofCode', 'indices': [208, 222]}, {'text': 'tech', 'indices': [223, 228]}, {'text': 'tableau', 'indices': [229, 237]}, {'text': 'Algorithms', 'indices': [238, 249]}, {'text': 'BusinessIntelligence', 'indices': [250, 271]}]"
1118660113546600448,2019-04-17 23:38:49,"We had a lot of fun tonight at our @GDGCloud #GoogleNext19 Extended! Great speakers, Engaged attendees, #Pizza, #Swag &amp; lots of @GCPcloud #ML,#Cloud &amp; #Go News. 

Special thanks to our team that made this possible: @chibichibibr @JasonBerrymanUK @zackakil
@femrtnz @lala_morinigo https://t.co/MhwVshQMP0",Saverio Terracciano,TetsuoRyuu,130,140,0,2,"[{'text': 'GoogleNext19', 'indices': [45, 58]}, {'text': 'Pizza', 'indices': [104, 110]}, {'text': 'Swag', 'indices': [112, 117]}, {'text': 'ML', 'indices': [142, 145]}, {'text': 'Cloud', 'indices': [146, 152]}, {'text': 'Go', 'indices': [159, 162]}]"
1118659940506193920,2019-04-17 23:38:08,"The #BotTO event has kicked off! 

First on the stage - @carreiro_luis from CHRIS Research Inc, giving us a demo of their customer research #chatbot.

Live broadcast: https://t.co/LoGTet4u6t 

#AI #ML #NLU #NLP #chatbots #conversationalAI https://t.co/vnwCZwHzUo",Eddy Travels,eddytravels,130,51,1,1,"[{'text': 'BotTO', 'indices': [4, 10]}, {'text': 'chatbot', 'indices': [140, 148]}, {'text': 'AI', 'indices': [193, 196]}, {'text': 'ML', 'indices': [197, 200]}, {'text': 'NLU', 'indices': [201, 205]}, {'text': 'NLP', 'indices': [206, 210]}, {'text': 'chatbots', 'indices': [211, 220]}, {'text': 'conversationalAI', 'indices': [221, 238]}]"
