id,created_at,text,user,screen_name,friends_count,followers_count,retweet_count,favorite_count,Hashtags
1118677579047821313,2019-04-18 00:48:13,"How the #IoT Brings #SmartCities to Life: https://t.co/tEn6yueTau 
————

#BigData #DataScience #abdsc #EdgeAnalytics #PredictiveAnalytics #AI #MachineLearning #IIoT #ConnectedProducts #SmartHomes #DigitalTransformation #Sensors #EmergingTech #Industry40 #4IR https://t.co/GBoEekFKcy",Kirk Borne,KirkDBorne,21488,228184,1,2,"[{'text': 'IoT', 'indices': [8, 12]}, {'text': 'SmartCities', 'indices': [20, 32]}, {'text': 'BigData', 'indices': [73, 81]}, {'text': 'DataScience', 'indices': [82, 94]}, {'text': 'abdsc', 'indices': [95, 101]}, {'text': 'EdgeAnalytics', 'indices': [102, 116]}, {'text': 'PredictiveAnalytics', 'indices': [117, 137]}, {'text': 'AI', 'indices': [138, 141]}, {'text': 'MachineLearning', 'indices': [142, 158]}, {'text': 'IIoT', 'indices': [159, 164]}, {'text': 'ConnectedProducts', 'indices': [165, 183]}, {'text': 'SmartHomes', 'indices': [184, 195]}, {'text': 'DigitalTransformation', 'indices': [196, 218]}, {'text': 'Sensors', 'indices': [219, 227]}, {'text': 'EmergingTech', 'indices': [228, 241]}, {'text': 'Industry40', 'indices': [242, 253]}, {'text': '4IR', 'indices': [254, 258]}]"
1118677387988873216,2019-04-18 00:47:27,"RT DeepLearn007: An Excellent Read: A Deep Dive into #DeepLearning
SpirosMargaris JimMarous Xbond49 psb_dc TheRudinGroup ahier pierrepinna RosyCoaching  ipfconline1 TopCyberNews #AI #MachineLearning #BigData #Datascience #Fintech #Marketing #HealthTech #… https://t.co/2Aq2VBdpNn",LarvaeSoft®,LarvaeSoft,1599,662,0,0,"[{'text': 'DeepLearning', 'indices': [53, 66]}, {'text': 'AI', 'indices': [178, 181]}, {'text': 'MachineLearning', 'indices': [182, 198]}, {'text': 'BigData', 'indices': [199, 207]}, {'text': 'Datascience', 'indices': [208, 220]}, {'text': 'Fintech', 'indices': [221, 229]}, {'text': 'Marketing', 'indices': [230, 240]}, {'text': 'HealthTech', 'indices': [241, 252]}]"
1118677385388470274,2019-04-18 00:47:27,"RT DeepLearn007: Top #AI Influencers In 2019, Thank you 
geoffreyhinton kdnuggets SpirosMargaris Xbond49 ahier JimMarous TheRudinGroup psb_dc ipfconline1 pierrepinna RosyCoaching TopCyberNews #MachineLearning #DeepLearning #BigData #Datascience #Fintech … https://t.co/VGV3vuy0Il",LarvaeSoft®,LarvaeSoft,1599,662,0,0,"[{'text': 'AI', 'indices': [21, 24]}, {'text': 'MachineLearning', 'indices': [192, 208]}, {'text': 'DeepLearning', 'indices': [209, 222]}, {'text': 'BigData', 'indices': [223, 231]}, {'text': 'Datascience', 'indices': [232, 244]}, {'text': 'Fintech', 'indices': [245, 253]}]"
1118677374932017152,2019-04-18 00:47:24,"HT KirkDBorne: #MachineLearning with Signal Processing Techniques: https://t.co/jFjN14h2LN #abdsc 

#BigData #DataScience #IoT #IIoT #AI #EdgeAnalytics #StreamingAnalytics #Python #Coding #DataScientists #DataEngineering https://t.co/OiUVSdvYGz","Adam Gabriel, #TOP🔝 #Influencer📡",THEAdamGabriel,49,25179,0,0,"[{'text': 'MachineLearning', 'indices': [15, 31]}, {'text': 'abdsc', 'indices': [91, 97]}, {'text': 'BigData', 'indices': [100, 108]}, {'text': 'DataScience', 'indices': [109, 121]}, {'text': 'IoT', 'indices': [122, 126]}, {'text': 'IIoT', 'indices': [127, 132]}, {'text': 'AI', 'indices': [133, 136]}, {'text': 'EdgeAnalytics', 'indices': [137, 151]}, {'text': 'StreamingAnalytics', 'indices': [152, 171]}, {'text': 'Python', 'indices': [172, 179]}, {'text': 'Coding', 'indices': [180, 187]}, {'text': 'DataScientists', 'indices': [188, 203]}, {'text': 'DataEngineering', 'indices': [204, 220]}]"
1118677372415434753,2019-04-18 00:47:24,"HT KirkDBorne: R vs. #Python — Usability, Popularity, Pros &amp; Cons, Jobs, and Salaries: https://t.co/x8DSsiFDLU #abdsc 

#BigData #DataScience #Statistics #MachineLearning #Coding #Rstats #DataScientists #Careers #Jobs https://t.co/aXLFFvrn3g","Adam Gabriel, #TOP🔝 #Influencer📡",THEAdamGabriel,49,25179,1,0,"[{'text': 'Python', 'indices': [21, 28]}, {'text': 'abdsc', 'indices': [115, 121]}, {'text': 'BigData', 'indices': [124, 132]}, {'text': 'DataScience', 'indices': [133, 145]}, {'text': 'Statistics', 'indices': [146, 157]}, {'text': 'MachineLearning', 'indices': [158, 174]}, {'text': 'Coding', 'indices': [175, 182]}, {'text': 'Rstats', 'indices': [183, 190]}, {'text': 'DataScientists', 'indices': [191, 206]}, {'text': 'Careers', 'indices': [207, 215]}, {'text': 'Jobs', 'indices': [216, 221]}]"
1118677370242772993,2019-04-18 00:47:23,"HT KirkDBorne: Explaining #AI through the Lifecycle of Data: https://t.co/K0S2pgwZ2G #abdsc by AjitJaokar 

#BigData #DataScience #MachineLearning #DataLiteracy #DataStrategy #StreamingData https://t.co/6eTmVqV4rg","Adam Gabriel, #TOP🔝 #Influencer📡",THEAdamGabriel,49,25179,0,0,"[{'text': 'AI', 'indices': [26, 29]}, {'text': 'abdsc', 'indices': [85, 91]}, {'text': 'BigData', 'indices': [108, 116]}, {'text': 'DataScience', 'indices': [117, 129]}, {'text': 'MachineLearning', 'indices': [130, 146]}, {'text': 'DataLiteracy', 'indices': [147, 160]}, {'text': 'DataStrategy', 'indices': [161, 174]}, {'text': 'StreamingData', 'indices': [175, 189]}]"
1118677367747117062,2019-04-18 00:47:23,"HT KirkDBorne: The Myth Versus Realty in Automated #MachineLearning: https://t.co/0oLkx5DVk5 
———
#abdsc #BigData #DataScience #DataScientists #AI #DeepLearning #Coding #Algorithms https://t.co/wbYxnzCdIK","Adam Gabriel, #TOP🔝 #Influencer📡",THEAdamGabriel,49,25179,0,0,"[{'text': 'MachineLearning', 'indices': [51, 67]}, {'text': 'abdsc', 'indices': [98, 104]}, {'text': 'BigData', 'indices': [105, 113]}, {'text': 'DataScience', 'indices': [114, 126]}, {'text': 'DataScientists', 'indices': [127, 142]}, {'text': 'AI', 'indices': [143, 146]}, {'text': 'DeepLearning', 'indices': [147, 160]}, {'text': 'Coding', 'indices': [161, 168]}, {'text': 'Algorithms', 'indices': [169, 180]}]"
1118677365868191744,2019-04-18 00:47:22,"HT KirkDBorne: A Periodic Table of #DeepLearning Patterns: https://t.co/mA3euaBDvw by IntuitMachine 
———
#abdsc #BigData #DataScience #AI #MachineLearning #NeuralNetworks #Algorithms
———
And a book: https://t.co/xiGuMwTS5c https://t.co/RlhCUifjVK","Adam Gabriel, #TOP🔝 #Influencer📡",THEAdamGabriel,49,25179,0,0,"[{'text': 'DeepLearning', 'indices': [35, 48]}, {'text': 'abdsc', 'indices': [105, 111]}, {'text': 'BigData', 'indices': [112, 120]}, {'text': 'DataScience', 'indices': [121, 133]}, {'text': 'AI', 'indices': [134, 137]}, {'text': 'MachineLearning', 'indices': [138, 154]}, {'text': 'NeuralNetworks', 'indices': [155, 170]}, {'text': 'Algorithms', 'indices': [171, 182]}]"
1118677342178676741,2019-04-18 00:47:17,"#MachineLearning with Signal Processing Techniques: https://t.co/19IRzODZhI #abdsc 

#BigData #DataScience #IoT #IIoT #AI #EdgeAnalytics #StreamingAnalytics #Python #Coding #DataScientists #DataEngineering https://t.co/irIYyNQuBG",Kirk Borne,KirkDBorne,21488,228184,1,1,"[{'text': 'MachineLearning', 'indices': [0, 16]}, {'text': 'abdsc', 'indices': [76, 82]}, {'text': 'BigData', 'indices': [85, 93]}, {'text': 'DataScience', 'indices': [94, 106]}, {'text': 'IoT', 'indices': [107, 111]}, {'text': 'IIoT', 'indices': [112, 117]}, {'text': 'AI', 'indices': [118, 121]}, {'text': 'EdgeAnalytics', 'indices': [122, 136]}, {'text': 'StreamingAnalytics', 'indices': [137, 156]}, {'text': 'Python', 'indices': [157, 164]}, {'text': 'Coding', 'indices': [165, 172]}, {'text': 'DataScientists', 'indices': [173, 188]}, {'text': 'DataEngineering', 'indices': [189, 205]}]"
1118677171223040000,2019-04-18 00:46:36,"R vs. #Python — Usability, Popularity, Pros &amp; Cons, Jobs, and Salaries: https://t.co/3ZUJOgFkon #abdsc 

#BigData #DataScience #Statistics #MachineLearning #Coding #Rstats #DataScientists #Careers #Jobs https://t.co/coHXir8Gy8",Kirk Borne,KirkDBorne,21488,228184,1,1,"[{'text': 'Python', 'indices': [6, 13]}, {'text': 'abdsc', 'indices': [100, 106]}, {'text': 'BigData', 'indices': [109, 117]}, {'text': 'DataScience', 'indices': [118, 130]}, {'text': 'Statistics', 'indices': [131, 142]}, {'text': 'MachineLearning', 'indices': [143, 159]}, {'text': 'Coding', 'indices': [160, 167]}, {'text': 'Rstats', 'indices': [168, 175]}, {'text': 'DataScientists', 'indices': [176, 191]}, {'text': 'Careers', 'indices': [192, 200]}, {'text': 'Jobs', 'indices': [201, 206]}]"
